,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,enrollee_id,target
35,25608,city_165,0.903,,Has relevent experience,no_enrollment,Masters,STEM,17,50-99,Pvt Ltd,>4,8,25608,0.5
36,22139,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,>20,100-500,Pvt Ltd,>4,8,22139,0.5
37,19644,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,145,19644,0.5
38,18517,city_21,0.624,,No relevent experience,Full time course,Masters,STEM,<1,10/49,Pvt Ltd,1,22,18517,0.5
39,12835,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Early Stage Startup,1,9,12835,0.5
40,20178,city_45,0.89,Male,Has relevent experience,no_enrollment,Masters,STEM,13,,Public Sector,1,20,20178,0.5
41,25855,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,50-99,Pvt Ltd,1,20,25855,0.5
42,32126,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,4,130,32126,0.5
43,22753,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,3,22753,0.5
44,18133,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,1,,,1,23,18133,0.5
45,29242,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Pvt Ltd,1,49,29242,0.5
46,6312,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,270,6312,0.5
47,113,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,6,1000-4999,Pvt Ltd,1,23,113,0.5
48,14685,city_114,0.926,Male,No relevent experience,Full time course,Masters,STEM,3,10/49,Pvt Ltd,1,35,14685,0.5
49,20768,city_90,0.698,Male,No relevent experience,Full time course,High School,,2,,,never,87,20768,0.5
50,25906,city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,50-99,Pvt Ltd,1,37,25906,0.5
51,20142,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,1,158,20142,0.5
52,25891,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,8,25891,0.5
53,4742,city_149,0.6890000000000001,,No relevent experience,no_enrollment,,,2,,,,114,4742,0.5
54,2222,city_105,0.794,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,14,100-500,Pvt Ltd,1,15,2222,0.5
55,16917,city_103,0.92,,No relevent experience,Full time course,High School,,1,,,1,48,16917,0.5
56,10493,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,8,1000-4999,Pvt Ltd,2,40,10493,0.5
57,10418,city_76,0.698,Male,Has relevent experience,no_enrollment,,,7,100-500,Pvt Ltd,>4,91,10418,0.5
58,9766,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,2,14,9766,0.5
59,1361,city_103,0.92,Other,Has relevent experience,Full time course,Graduate,STEM,5,,,1,132,1361,0.5
60,19625,city_97,0.925,Male,Has relevent experience,no_enrollment,High School,,7,50-99,Pvt Ltd,1,31,19625,0.5
61,20943,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,8,20943,0.5
62,9561,city_28,0.939,,Has relevent experience,no_enrollment,Masters,STEM,19,,,2,72,9561,0.5
63,4271,city_13,0.8270000000000001,,Has relevent experience,,Graduate,STEM,5,<10,Pvt Ltd,2,74,4271,0.5
64,2094,city_64,0.6659999999999999,Female,Has relevent experience,no_enrollment,Graduate,STEM,18,100-500,Pvt Ltd,>4,43,2094,0.5
65,16931,city_31,0.807,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,134,16931,0.5
66,27298,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,Arts,5,<10,Early Stage Startup,never,18,27298,0.5
67,26493,city_136,0.897,Male,No relevent experience,Part time course,Graduate,STEM,8,,Public Sector,1,124,26493,0.5
68,30745,city_19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,,,3,80,30745,0.5
69,21052,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,,,never,9,21052,0.5
70,20723,city_11,0.55,Male,Has relevent experience,Full time course,Graduate,STEM,<1,50-99,Pvt Ltd,1,188,20723,0.5
71,13539,city_143,0.74,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,2,182,13539,0.5
72,3214,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,4,282,3214,0.5
73,16230,city_103,0.92,,No relevent experience,Full time course,High School,,1,,,never,84,16230,0.5
74,25300,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Early Stage Startup,1,59,25300,0.5
75,24018,city_11,0.55,Male,Has relevent experience,Part time course,Graduate,STEM,3,10/49,Pvt Ltd,1,116,24018,0.5
76,21833,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,50-99,Pvt Ltd,>4,34,21833,0.5
77,30632,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,12,50-99,Pvt Ltd,2,64,30632,0.5
78,4334,city_103,0.92,Male,Has relevent experience,,High School,,9,,,2,19,4334,0.5
79,22271,city_100,0.887,Male,No relevent experience,Full time course,Graduate,Other,15,,,3,77,22271,0.5
80,28776,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,56,28776,0.5
81,27769,city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,2,,,1,73,27769,0.5
82,25909,city_67,0.855,,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,>4,30,25909,0.5
83,31266,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,Pvt Ltd,>4,66,31266,0.5
84,7973,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,14,10000+,Pvt Ltd,1,10,7973,0.5
85,30867,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,100,30867,0.5
86,22501,city_75,0.939,Male,Has relevent experience,no_enrollment,,,19,10/49,Pvt Ltd,>4,32,22501,0.5
87,2539,city_13,0.8270000000000001,Male,Has relevent experience,Full time course,Masters,STEM,10,10000+,Pvt Ltd,4,29,2539,0.5
88,26681,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,10000+,Pvt Ltd,3,8,26681,0.5
89,16184,city_127,0.745,,No relevent experience,Full time course,High School,,1,,,never,77,16184,0.5
90,3852,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,28,3852,0.5
91,1680,city_19,0.682,Male,Has relevent experience,no_enrollment,Masters,STEM,19,1000-4999,,4,99,1680,0.5
92,3562,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,2,41,3562,0.5
93,8488,city_101,0.5579999999999999,Male,Has relevent experience,Part time course,Masters,STEM,3,,,2,258,8488,0.5
94,8373,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,1000-4999,Pvt Ltd,3,144,8373,0.5
95,2934,city_75,0.939,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Pvt Ltd,3,328,2934,0.5
96,12919,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Humanities,4,,,1,47,12919,0.5
97,4386,city_21,0.624,Male,No relevent experience,Full time course,High School,,3,<10,Early Stage Startup,2,36,4386,0.5
98,22462,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,NGO,1,30,22462,0.5
99,13988,city_103,0.92,,Has relevent experience,Part time course,Masters,STEM,16,10000+,Pvt Ltd,>4,36,13988,0.5
100,21230,city_103,0.92,,No relevent experience,no_enrollment,High School,,3,,,>4,41,21230,0.5
101,26180,city_139,0.487,Male,No relevent experience,Full time course,Graduate,STEM,1,10/49,Pvt Ltd,never,64,26180,0.5
102,16658,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,16,50-99,Pvt Ltd,1,55,16658,0.5
103,10324,city_16,0.91,Male,Has relevent experience,Part time course,Graduate,STEM,>20,10000+,Pvt Ltd,2,12,10324,0.5
104,20453,city_27,0.848,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,never,4,20453,0.5
105,13485,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,23,13485,0.5
106,33080,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,never,32,33080,0.5
107,25492,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,10,25492,0.5
108,1319,city_71,0.884,Male,No relevent experience,Part time course,Graduate,STEM,<1,,,>4,18,1319,0.5
109,19146,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,,1,43,19146,0.5
110,29339,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,never,5,29339,0.5
111,33177,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,1,8,33177,0.5
112,22143,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,1,34,22143,0.5
113,22264,city_160,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,6,,,1,58,22264,0.5
114,17034,city_103,0.92,,Has relevent experience,Full time course,Graduate,STEM,5,10000+,Other,never,48,17034,0.5
115,27002,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,7,50-99,Pvt Ltd,>4,58,27002,0.5
116,21318,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,1,7,21318,0.5
117,12308,city_143,0.74,,No relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Public Sector,>4,84,12308,0.5
118,842,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,7,,,1,12,842,0.5
119,4926,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,1,,,never,22,4926,0.5
120,3,city_99,0.915,,No relevent experience,Full time course,High School,,6,,Pvt Ltd,never,44,3,0.5
121,19567,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,1000-4999,Pvt Ltd,1,42,19567,0.5
122,12809,city_61,0.913,Male,Has relevent experience,no_enrollment,High School,,3,100-500,Pvt Ltd,1,48,12809,0.5
123,22682,city_71,0.884,Male,No relevent experience,no_enrollment,Masters,STEM,2,1000-4999,Pvt Ltd,1,196,22682,0.5
124,1216,city_173,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,2,80,1216,0.5
125,4417,city_103,0.92,,No relevent experience,no_enrollment,,,,,,,99,4417,0.5
126,24162,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,<1,<10,Pvt Ltd,1,48,24162,0.5
127,16873,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,95,16873,0.5
128,21920,city_16,0.91,Female,No relevent experience,no_enrollment,Phd,STEM,19,1000-4999,NGO,1,64,21920,0.5
129,24230,city_21,0.624,,Has relevent experience,Full time course,Masters,No Major,<1,<10,Early Stage Startup,,17,24230,0.5
130,5189,city_16,0.91,,No relevent experience,no_enrollment,High School,,<1,,,1,64,5189,0.5
131,24396,city_70,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,100-500,Pvt Ltd,2,54,24396,0.5
132,770,city_73,0.754,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,1,12,770,0.5
133,30913,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,>4,19,30913,0.5
134,14566,city_69,0.856,Female,Has relevent experience,Part time course,Graduate,STEM,7,500-999,Pvt Ltd,1,145,14566,0.5
135,15634,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,No Major,11,100-500,Pvt Ltd,>4,50,15634,0.5
136,18163,city_64,0.6659999999999999,,Has relevent experience,no_enrollment,High School,,2,,,never,135,18163,0.5
137,16673,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,<1,,,1,3,16673,0.5
138,18805,city_16,0.91,Male,No relevent experience,no_enrollment,Phd,Humanities,>20,,,>4,27,18805,0.5
139,15367,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,1,24,15367,0.5
140,22556,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,5,10/49,Funded Startup,1,120,22556,0.5
141,27439,city_100,0.887,Male,Has relevent experience,Part time course,Graduate,STEM,15,,,1,61,27439,0.5
142,18426,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,,,1,23,18426,0.5
143,9789,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,4,9789,0.5
144,28172,city_114,0.926,,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,139,28172,0.5
145,9184,city_136,0.897,Male,Has relevent experience,Part time course,Masters,STEM,3,10000+,Pvt Ltd,1,34,9184,0.5
146,3587,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,Humanities,7,,Pvt Ltd,4,21,3587,0.5
147,1167,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,4,10,1167,0.5
148,1663,city_134,0.698,,Has relevent experience,Part time course,Masters,STEM,>20,,,>4,15,1663,0.5
149,20948,city_44,0.725,,Has relevent experience,no_enrollment,Masters,STEM,5,10/49,,,42,20948,0.5
150,31594,city_41,0.8270000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,>4,154,31594,0.5
151,27117,city_90,0.698,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,never,8,27117,0.5
152,678,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,1,84,678,0.5
153,1441,city_103,0.92,Male,No relevent experience,Full time course,Masters,STEM,16,,,never,96,1441,0.5
154,31272,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,5000-9999,Pvt Ltd,4,56,31272,0.5
155,12443,city_149,0.6890000000000001,Male,Has relevent experience,no_enrollment,High School,,6,100-500,Pvt Ltd,1,270,12443,0.5
156,32981,city_165,0.903,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,,,1,76,32981,0.5
157,1317,city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,12,100-500,Funded Startup,1,48,1317,0.5
158,4601,city_28,0.939,Male,No relevent experience,no_enrollment,Phd,STEM,>20,5000-9999,Pvt Ltd,2,9,4601,0.5
159,30498,city_83,0.923,,No relevent experience,no_enrollment,Graduate,STEM,3,10/49,Public Sector,never,27,30498,0.5
160,7863,city_165,0.903,,No relevent experience,no_enrollment,Graduate,STEM,13,,,3,40,7863,0.5
161,8744,city_150,0.698,Male,No relevent experience,Full time course,High School,,1,,,never,72,8744,0.5
162,14698,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,5000-9999,Pvt Ltd,1,66,14698,0.5
163,10021,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1,22,10021,0.5
164,15253,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,50-99,Funded Startup,3,156,15253,0.5
165,18108,city_114,0.926,Male,Has relevent experience,no_enrollment,High School,,5,10000+,Pvt Ltd,>4,95,18108,0.5
166,31410,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,35,31410,0.5
167,30532,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,500-999,Pvt Ltd,1,102,30532,0.5
168,31733,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,,>4,51,31733,0.5
169,28833,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,1,88,28833,0.5
170,8708,city_74,0.579,Male,Has relevent experience,Part time course,Masters,STEM,3,50-99,Pvt Ltd,1,13,8708,0.5
171,10050,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,>4,20,10050,0.5
172,21685,city_114,0.926,,No relevent experience,no_enrollment,Phd,STEM,15,10000+,Pvt Ltd,1,91,21685,0.5
173,18529,city_143,0.74,Male,Has relevent experience,Full time course,Graduate,STEM,6,10/49,Pvt Ltd,4,34,18529,0.5
174,1850,city_103,0.92,,No relevent experience,no_enrollment,Graduate,STEM,1,100-500,Public Sector,1,20,1850,0.5
175,22639,city_176,0.764,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10/49,Pvt Ltd,1,77,22639,0.5
176,5967,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10/49,Pvt Ltd,>4,101,5967,0.5
177,20977,city_16,0.91,Male,Has relevent experience,no_enrollment,High School,,>20,100-500,Pvt Ltd,1,178,20977,0.5
178,5391,city_155,0.556,Male,No relevent experience,Full time course,Graduate,STEM,2,,,,29,5391,0.5
179,4398,city_155,0.556,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,,3,200,4398,0.5
180,18383,city_21,0.624,Male,No relevent experience,no_enrollment,Masters,STEM,4,100-500,Pvt Ltd,1,15,18383,0.5
181,17336,city_21,0.624,Male,No relevent experience,Full time course,High School,,2,,,never,72,17336,0.5
182,7470,city_167,0.921,Male,Has relevent experience,Full time course,Graduate,STEM,7,100-500,Pvt Ltd,1,8,7470,0.5
183,24781,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,2,76,24781,0.5
184,24202,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,,,1,9,24202,0.5
185,20650,city_73,0.754,,Has relevent experience,Part time course,Graduate,STEM,6,10/49,Pvt Ltd,3,68,20650,0.5
186,5377,city_114,0.926,Male,No relevent experience,no_enrollment,High School,,5,,Pvt Ltd,never,70,5377,0.5
187,31693,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,51,31693,0.5
188,28619,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,No Major,3,,,never,4,28619,0.5
189,15432,city_114,0.926,,No relevent experience,no_enrollment,High School,,11,100-500,Pvt Ltd,>4,16,15432,0.5
190,22999,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,<1,100-500,Pvt Ltd,1,9,22999,0.5
191,8377,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,100-500,Pvt Ltd,2,24,8377,0.5
192,9302,city_149,0.6890000000000001,,Has relevent experience,no_enrollment,Graduate,STEM,9,,,2,152,9302,0.5
193,16158,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Funded Startup,3,72,16158,0.5
194,29575,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,,,3,88,29575,0.5
195,16573,city_28,0.939,Male,Has relevent experience,,Graduate,No Major,8,10/49,Pvt Ltd,2,138,16573,0.5
196,30736,city_160,0.92,Male,No relevent experience,Full time course,High School,,2,,,1,48,30736,0.5
197,20612,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,1,100-500,Pvt Ltd,never,128,20612,0.5
198,11976,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,14,,,1,59,11976,0.5
199,28302,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,<10,Pvt Ltd,1,138,28302,0.5
200,9462,city_21,0.624,,No relevent experience,Part time course,,,1,,,never,204,9462,0.5
201,14512,city_11,0.55,Male,Has relevent experience,Full time course,Graduate,STEM,4,50-99,,1,125,14512,0.5
202,8401,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Public Sector,2,7,8401,0.5
203,19780,city_105,0.794,Female,Has relevent experience,no_enrollment,Masters,,,500-999,,1,53,19780,0.5
204,2594,city_21,0.624,,No relevent experience,Full time course,High School,,2,,Pvt Ltd,never,12,2594,0.5
205,1466,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,52,1466,0.5
206,17205,city_114,0.926,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,,,never,24,17205,0.5
207,12990,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,>4,67,12990,0.5
208,4234,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Pvt Ltd,1,118,4234,0.5
209,18171,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,,,2,29,18171,0.5
210,15457,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Pvt Ltd,>4,18,15457,0.5
211,23319,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,4,,,never,9,23319,0.5
212,10598,city_136,0.897,Male,Has relevent experience,no_enrollment,Phd,STEM,14,<10,Early Stage Startup,1,7,10598,0.5
213,7788,city_21,0.624,Male,Has relevent experience,no_enrollment,High School,,10,,,never,73,7788,0.5
214,32021,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,2,65,32021,0.5
215,23969,city_30,0.698,Male,Has relevent experience,no_enrollment,,,>20,<10,Pvt Ltd,,67,23969,0.5
216,13037,city_97,0.925,,Has relevent experience,no_enrollment,High School,,8,,,1,33,13037,0.5
217,30196,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,Humanities,2,<10,Early Stage Startup,1,56,30196,0.5
218,19504,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,4,10/49,Pvt Ltd,1,18,19504,0.5
219,16336,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,>4,272,16336,0.5
220,6048,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,2,29,6048,0.5
221,6827,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,never,100,6827,0.5
222,9268,city_160,0.92,Male,Has relevent experience,no_enrollment,,,>20,<10,Pvt Ltd,2,26,9268,0.5
223,11169,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1,13,11169,0.5
224,31131,city_103,0.92,Female,No relevent experience,Part time course,Graduate,Other,3,5000-9999,Other,1,56,31131,0.5
225,12361,city_21,0.624,,No relevent experience,Full time course,Graduate,STEM,<1,<10,Early Stage Startup,,23,12361,0.5
226,15165,city_160,0.92,,No relevent experience,Part time course,Graduate,STEM,>20,,,,16,15165,0.5
227,27773,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,200,27773,0.5
